Actions,Name,Status,Cost,Publisher Revenue,Profit,ROI,CPA,EPA
"=""""","=""S1 - GHA - Becas Irlanda - scholarships-to-study-in-ireland.xyz""","=""RUNNING""","=""68.19""","=""96.78""","=""28.590000000000003""","=""41.926968763748356""","=""0.036700753498385356""","=""0.05208826695371367"""
"=""""","=""S1 - RD - Subsidio vivienda - subsidios-del-gobierno-para-comprar-casa.xyz (Dinamico)""","=""RUNNING""","=""67.07000000000001""","=""138.70999999999998""","=""71.63999999999997""","=""106.81377665125981""","=""0.016617938553022796""","=""0.034368186323092166"""
"=""""","=""S1 - UY - Microcredito Personal - microcredito-personal.xyz""","=""RUNNING""","=""65.89""","=""66.10000000000001""","=""0.21000000000000796""","=""0.31871300652604034""","=""0.10247278382581648""","=""0.10279937791601867"""
"=""""","=""S1 - RP - Refinanciamiento deuda - refinanciacion-de-deuda.xyz""","=""RUNNING""","=""63.85""","=""80.12""","=""16.270000000000003""","=""25.481597494126863""","=""0.03271004098360656""","=""0.04104508196721312"""
"=""""","=""S1 - PR - Préstamos estatales - prestamos-estatales.xyz""","=""PAUSED""","=""62.300000000000004""","=""55.199999999999996""","=""-7.1000000000000085""","=""-11.396468699839499""","=""0.13662280701754387""","=""0.12105263157894736"""
"=""""","=""S1 - HON - Subsidio vivienda - subsidios-del-gobierno-para-comprar-casa.xyz (Dinamico)""","=""RUNNING""","=""61.96""","=""101.53""","=""39.57""","=""63.86378308586185""","=""0.015071758696180979""","=""0.02469715397713452"""
"=""""","=""S1 - MEX - Préstamos estatales - prestamos-estatales.xyz""","=""RUNNING""","=""59.57""","=""63.57000000000001""","=""4.000000000000007""","=""6.714789323484988""","=""0.039372108393919365""","=""0.0420158625247852"""
"=""""","=""S1 - SIE LEO - Becas Irlanda - scholarships-to-study-in-ireland.xyz""","=""RUNNING""","=""59.34999999999998""","=""71.91999999999999""","=""12.570000000000007""","=""21.179443976411143""","=""0.031335797254487846""","=""0.03797254487856388"""
"=""""","=""S1 - GUA - Subsidio vivienda - subsidios-del-gobierno-para-comprar-casa.xyz (Dinamico)""","=""RUNNING""","=""58.5""","=""138.97""","=""80.47""","=""137.55555555555557""","=""0.0271461716937355""","=""0.06448723897911833"""
"=""""","=""S1 - GUA - Refinanciamiento deuda - refinanciacion-de-deuda.xyz""","=""RUNNING""","=""55.769999999999996""","=""65.94000000000001""","=""10.170000000000016""","=""18.23561054330288""","=""0.03637964774951076""","=""0.043013698630136994"""
"=""""","=""S1 - ARG - Curso IA Gratis - cursos-de-ia-gratis.xyz (dinamico)""","=""RUNNING""","=""52.2""","=""78.14""","=""25.939999999999998""","=""49.693486590038304""","=""0.033786407766990295""","=""0.05057605177993527"""
"=""""","=""S1 - GHA - Curso IA gratis - free-ai-courses-intl.xyz""","=""RUNNING""","=""50.04""","=""60.94""","=""10.899999999999999""","=""21.782573940847318""","=""0.09318435754189944""","=""0.11348230912476723"""
"=""""","=""S1 - LIBE - Becas Irlanda - scholarships-to-study-in-ireland.xyz""","=""RUNNING""","=""50.00999999999999""","=""64.6""","=""14.590000000000003""","=""29.17416516696662""","=""0.030475319926873853""","=""0.03936624009750152"""
"=""""","=""S1 - UGA - Becas China - scholarships-to-study-in-china-intl.xyz""","=""RUNNING""","=""49.94""","=""43.97999999999999""","=""-5.960000000000008""","=""-11.934321185422524""","=""0.134247311827957""","=""0.11822580645161287"""
"=""""","=""S1 - UY - Refinanciamiento deuda - refinanciacion-de-deuda.xyz""","=""RUNNING""","=""48.910000000000004""","=""46.49000000000001""","=""-2.4199999999999946""","=""-4.947863422612951""","=""0.08057660626029654""","=""0.07658978583196048"""
"=""""","=""S1 - UY - Subsidio vivienda - subsidios-del-gobierno-para-comprar-casa.xyz""","=""RUNNING""","=""48.43""","=""59.27999999999999""","=""10.849999999999987""","=""22.403468924220498""","=""0.05651108518086348""","=""0.069171528588098"""
"=""""","=""S1 - BOTSW - Prestamos estatales - state-loans-intl.xyz""","=""RUNNING""","=""47.99""","=""58.97999999999999""","=""10.989999999999988""","=""22.900604292560924""","=""0.05083686440677966""","=""0.06247881355932202"""
